id,sentence,target
1358,"  a superbly controlled , passionate adaptation of graham greene 's novel",+
1359,  and drags when it should pop it does n't even have the virtue of enough mindless violence to break up the tedium of all its,-
1360,"  despite all the door , the film is essentially",-
1361,  fun and,+
1362,  i felt trapped and with no obvious escape for the entire 100 minutes,-
1363,"  despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a that 's as fresh faced as its young guns cast",-
1364,"  swimfan , like fatal attraction , eventually goes with a melodramatic in which a high school swimming pool substitutes for a",-
1365,"  i 've always dreamed of cannes , but after seeing this film , it 's not that big a deal",-
1366,"  maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor",+
1367,"  a grim , flat and boring werewolf movie that refuses to develop an energy level",-
1368,"  in a summer of clones , harvard man is something rare and riveting a wild ride that relies on more than special effects",+
1369,"  you can feel the heat that this gripping tale , and the humor and humanity that root it in feeling",+
1370,  the mushy finale turns john q into a movie of the week,-
1371,"  the format gets used best to capture the dizzying heights achieved by and , whose occasionally ends in bone",+
1372,  too many and rose colored situations what could 've been an film,-
1373,  a derivative collection of horror and sci fi cliches,-
1374,  what kids will discover is a new what parents will is that they 're watching a minute commercial,-
1375,"  if the idea of the white man on foreign to show the true light is to you , the simplistic heaven will quite likely be more like hell",-
1376,  it 's rare to see a movie that takes such a from promising to interesting to familiar before squarely on stupid,-
1377,"  i believe had the best intentions here , but he just does n't have the restraint to fully realize them",-
1378,"  an absorbing , slice of depression life that touches and rings true",+
1379,  a of better films like contempt and 8 1 2,-
1380,  wise and,+
1381,"  here 's a case of two actors who do everything possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior",-
1382,  van wilder brings a whole new meaning to the phrase ` comedy gag ' at least one scene is so disgusting that viewers may be hard pressed to their lunch,-
1383,"  the story , once it gets rolling , is nothing short of a great one",+
1384,"  there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache",+
1385,"  sensitive to a view of their lord as a dr or will feel vastly more than , who might even praise god for delivering such an camp classic",-
1386,"  purely propaganda , a work of unabashed hero , it is nonetheless and likely a timely and invaluable implicit reminder of the role that u s foreign policy has played in the rise of castro",+
1387,"  a fine , rousing , g rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown ups from in their seats",+
1388,  a potentially good comic premise and excellent cast are terribly wasted,-
1389,"  the fight scenes are fun , but it grows tedious",-
1390,  an enjoyable feel good family comedy regardless of race,+
1391,"  the potential for study , instead , the skewed melodrama of the situation",-
1392,"  taken purely as an exercise in style , this gloomy techno horror is impossible to ignore but as a movie , it 's a humorless , disjointed mess",-
1393,  this is more a case of ` ! ' than ` ',-
1394,  director david fincher and writer david ca n't sustain it,-
1395,  a cautionary tale about the grandiosity of a college student who sees himself as to a fall,+
1396,"  cheap , vulgar dialogue and a plot that along at a snail 's pace",-
1397,"  the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end",+
1398,"  ' for sin , american style ? try hell house , which documents the cautionary christian a of the same name",+
1399,"  a timely look back at civil , anti war movements and the power of strong voices",+
1400,  if only merchant paid more attention the story,-
1401,  a compelling coming of age drama about the journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and mother 's hold over her,+
1402,"  director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english language movie , the elizabeth",+
1403,  it 's made with deftly unsettling genre flair,+
1404,  malcolm mcdowell is cool paul bettany is cool paul bettany playing malcolm mcdowell ? cool,+
1405,"  not everything works , but the average is higher than in mary and most other recent comedies",+
1406,  as as last week 's,-
1407,"  directors harry gantz and joe gantz have chosen a fascinating subject matter , but the couples themselves are n't all that interesting",-
1408,  it 's a 100 year old mystery that is constantly being by elizabeth hurley in a suit,-
1409,  should have been someone else,-
1410,"  for all its brilliant touches , dragon loses its fire , nearly out by its conclusion",-
1411,  the sort of movie that gives tastelessness a bad rap,-
1412,"  jeong hyang lee 's film is deceptively simple , deeply satisfying",+
1413,  the plot meanders from gripping to plodding and back,-
1414,  a listless and affair,-
1415,"  a creepy , intermittently powerful study of a self destructive man about as unsettling to watch as an medical or an",+
1416,"  chamber of secrets will find millions of eager fans but if the essence of magic is its make believe promise of life that soars above the material realm , this is the of a truly magical movie",-
1417,  salma goes native and she 's never been better in this colorful bio pic of a mexican icon,+
1418,  it 's a work by an artist so in control of both his medium and his message that he can like a,+
1419,  the film suffers from a lack of humor ( something needed to balance out the violence ),-
1420,"  though it pretends to the life of male , it 's exploitive without being insightful",-
1421,"  the result is more depressing than liberating , but it 's never boring",+
1422,"  a depraved , incoherent , instantly disposable piece of",-
1423,  potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind,-
1424,"  a beguiling , slow moving parable about the collision of past and present on a remote in iran",+
1425,"  the script is high on banter , low on shocks",-
1426,"  despite a blue cast and a provocative title , writer director peter mattei 's first feature dull romantic in contemporary",-
1427,  completely awful iranian drama as much fun as a in a cold,-
1428,"  one senses in world traveler and in his earlier film that freundlich bears a but obscure complaint against fathers , and it , without making contact",-
1429,"  hoffman in the nuances of pain , but his smart , edgy voice and profile ( here ) accent the humor of wilson 's plight , and that saves his pathos from",+
1430,"  his drug as being 51 times stronger than if you 're looking for a tale of brits behaving badly , watch again it 's 51 times better than this",-
1431,"  if you 're content with a clever pseudo bio that manages to have a good time as it out pieces of the famous director 's life , eisenstein delivers",+
1432,  standard guns versus martial arts cliche with little new added,-
1433,  a decent enough nail that stands a good chance of being the big hit franklin needs to stay afloat in hollywood,+
1434,"  behind the snow games and ( plus one dog ) , the picture a wrapped dose of heart",+
1435,  k 19 the is a great yarn,+
1436,"  uncertain in tone a exercise in sexual politics , a junior short cuts by way of very bad things",-
1437,  it 's impossible to the fanciful of janice ( walsh ) when her real life persona is so charmless and,-
1438,"  fine acting but there is no sense of the dots , just dots",+
1439,"  elegant and eloquent meditation on death and that most elusive of passions , love",+
1440,  it up as the worst kind of folly,-
1441,"  without a strong script and energetic acting , dogma films can produce the same sleep inducing effects as watching your 's home videos",-
1442,  the movie sticks much closer to 's drop dead tone than the film version of high did,+
1443,"  a trashy , exploitative , thoroughly unpleasant experience",-
1444,"  add yet another hat to a talented head , clooney 's a good director",+
1445,"  the actors are simply too good , and the story too intriguing , for technical flaws to get in the way",+
1446,  a pro fat farce that overcomes much of its excessive moral baggage thanks to two appealing lead performances,+
1447,"  it may not be history but then again , what if it is ? but it makes for one of the most purely enjoyable and satisfying at the movies i 've had in a while",+
1448,"  it is nature against in fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale",+
1449,  a sentimental but entirely irresistible portrait of three aging sisters,+
1450,  the spark of special anime magic here is and hard to resist,+
1451,"  one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind",+
1452,  we 've liked klein 's other work but rollerball left us cold,-
1453,"  i 'm not that you actually see it , unless you 're the kind of person who has seen every film of the '70s",-
1454,"  a touching , small scale story of family responsibility and care in the community",+
1455,"  fierce , glaring and unforgettable",+
1456,  wait for pay per view or rental but do n't dismiss barbershop out of hand,-
1457,"  the screenplay comes across , rather unintentionally , as hip hop scooby doo",-
1458,  a film that loses sight of its own story,-
1459,"  there 's not much more to this adaptation of the novel than charm , pleasurable , charm",+
1460,  taylor appears to have blown his entire budget on soundtrack and had nothing left over for jokes,-
1461,"  its gentle , touching story creeps into your heart",+
1462,"  this is cool , slick stuff , ready to the thirst of an audience that misses the summer blockbusters",+
1463,"  an earnest , document , it serves as a for the 's recent history , and would make a terrific grade",+
1464,"  it kinda works and as cool at times , but is just too lame to work or be cool at others",-
1465,  the gentle of drama and comedy makes what time is it there ? something the true film buff will enjoy,+
1466,"  the plot is straight off the shelf , the performances are television caliber and the message of providing solace through deception is a little creepy",-
1467,  what was subtle and in the is now broad and farcical,-
1468,"  the re , however fascinating they may be as history , are too crude to serve the work especially well",-
1469,"  an even more predictable , cliche ridden endeavor than its predecessor",-
1470,  an intelligent fiction about through cultural,+
1471,"  a droll , well acted , character driven comedy with unexpected of feeling",+
1472,  labute 's careful handling makes the material seem genuine rather than pandering,+
1473,"  that dogged good will of the parents and ` vain ' jia 's of ego , make the film touching despite some doldrums",+
1474,"  doug liman , the director of bourne , directs the traffic well , gets a nice look from his locations , us with the movie 's and uses damon 's ability to be focused and sincere",+
1475,"  while the last was more melodramatic , confined to a single theater company and its and deceptions , while is more concerned with the entire period of history",+
1476,  it 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong,-
1477,"  that neither protagonist has a condition hardly matters because both are just , defined by childlike and a handful of quirks",-
1478,  itself for the straight to video sci fi rental shelf,-
1479,"  if you ever what it would be like to be in the middle of a war zone with nothing but a camera , this oscar nominated documentary takes you there",+
1480,"  plodding , and gimmicky",-
1481,"  for a film about explosions and death and , ballistic ecks vs sever seems as safe as a children 's film well , in some of those , the mother even",-
1482,  a romantic comedy that operates by the rules of its own self universe,+
1483,  a little objectivity could have gone a long way,-
1484,  a mixed bag of a comedy that ca n't really be described as out of this world,-
1485, ,-
1486,"  wendigo wants to be a monster movie for the art house crowd , but it falls into the trap of almost every time",-
1487,"  the pianist is a supremely hopeful cautionary tale of war 's madness remembered that we , today , can prevent its tragic waste of life here is a divine monument to a single man 's struggle to his life , his dignity and his music",+
1488,"  we can see the wheels turning , and we might it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer",+
1489,"  the period swinging london in the time of the and the gets the once over once again in gangster no 1 , but falls apart long before the end",-
1490,"  is probably the funniest person in the film , which gives you an idea just how bad it was",-
1491,"  if you 're just in the mood for a fun but bad movie , you might want to catch freaks as a matinee",-
1492,  a rare movie that makes us re the basis for our lives and what is truly in a world of meaningless,+
1493,"  aside , why put someone who ultimately does n't learn at the center of a kids ' story ?",-
1494,"  should have gone straight to video it looks like an action movie , but it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such",-
1495,  audiences can be expected to suspend their disbelief only so far and that does not include the 5 shadow on the tall wooden kid as he off to school,-
1496,"  ringu is a disaster of a story , full of holes and completely lacking in chills ignore the reputation , and ignore the film",-
1497,  its adult themes of familial and betrayal are head and above much of the director 's previous popcorn work,+
1498,"  this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing of artifice that gives the lady and the duke something of a theatrical air",+
1499,"  rarely , a movie is more than a movie go",+
1500,"  cho 's fearless in apart human foibles , not afraid to lay her life bare in front of an audience her delivery and timing are",+
1501,  may be an easy target those old 's giant creature features but it acknowledges and celebrates their as the reason why people get a kick out of watching them today,+
1502,"  for a debut film , skin of man , heart of beast feels unusually assured",+
1503,  go see it and enjoy,+
1504,  the film 's taste for shock humor will wear thin on all but those on the comedy of tom green and the farrelly brothers,-
1505,"  in the sea of moviemaking , not big enough for us to worry about it significant harm and not enough to bother",-
1506,"  the script is a tired one , with few moments of joy rising above the stale material",-
1507,"  the movie addresses a hungry need for pg rated , family movies , but it does n't go too much further",+
1508,"  craven 's presence is felt not the craven of ` a nightmare on street ' or ` the have eyes , ' but the sad schlock merchant of ` deadly friend '",-
1509,  a film of precious artfully as everyday,+
1510,"  claims to sort the bad guys from the good , which is its essential problem",-
1511,"  by the time the plot itself out in increasingly incoherent fashion , you might be wishing for a watch that makes time go faster rather than the other way around",-
1512,  a four star performance from kevin kline who unfortunately works with a two star script,+
1513,"  like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well",+
1514,"  the costume drama is set in a remote african empire before cell phones , guns , and the , but the politics that through it are as timely as",+
1515,"  to the film 's credit , the acting is fresh and , and is a marvel of reality versus sappy sentiment",+
1516,  it 's fascinating to see how bettany and mcdowell play off each other,+
1517,"  ritchie 's film is easier to swallow than wertmuller 's allegory , but it 's self",-
1518,  the screenplay never lets us forget that bourne was once an assassin just like the ones who are him there is never really a true us versus them,+
1519,"  celebrates middle aged girl power , even as it presents friendship between women as pathetic , dysfunctional and destructive",-
1520,"  flashy , pretentious and as as morvern 's thick , working class scottish accent",-
1521,  diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film,+
1522,  an effortlessly accomplished and richly resonant work,+
1523,  a no holds cinematic treat,+
1524,"  ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible",+
1525,"  while most films these days are about nothing , this film seems to be about everything that 's the human spirit in a relentlessly world",+
1526,"  undone by its overly complicated and derivative screenplay , the paced direction and the stereotypical characters",-
1527,  a good thriller,+
1528,"  sparkles in its deft portrait of 's of , , paranoia , and",+
1529,"  b art and are both superb , while huppert is magnificent",+
1530,"  even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that herzog can still leave us with a sense of wonder at the diverse , marvelously twisted history has taken",+
1531,  showtime is a fine looking film with a bouncy score and a of lively songs for deft,+
1532,"  the problem with this film is that it 's forced to make its characters idiots in order to advance the plot had anyone here done anything remotely intelligent , we all could have stopped watching long ago",-
1533,  this is the first full scale wwii flick from hong kong 's john woo he 's not good with people,-
1534,  hudlin is stuck trying to light a fire with soggy leaves,-
1535,  it 's fairly solid not to mention well edited so that it certainly does n't feel like a film that past the two and a half mark,+
1536,  it 's almost as if it 's an elaborate dare more than a full blooded film,-
1537,"  there are a few chuckles , but not a single gag sequence that really scores , and the stars seem to be in two different movies",-
1538,"  there 's a to be here that producers would be well to mediocre movies start to drag as soon as the action up when the explosions start , they fall to pieces",-
1539,  a faster paced family flick upper teens may get cynical will enjoy,-
1540,  less than compelling documentary of a yiddish theater,-
1541,  another in your face in the lower depths made by people who have never those blues,-
1542,  one of the best rock documentaries ever wilco is a band with such an engrossing story that will capture the minds and hearts of many,+
1543,"  a story , an old and scary one , about the monsters we make , and the they take",+
1544,"  what with all the and dime store on vanity , the of the rich and sudden wisdom , the film becomes a for most of its running time",-
1545,  a rather thinly conceived movie,-
1546,"  , o de",+
1547,  it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring in post,+
1548,  the package in which this fascinating and timely content comes wrapped is disappointingly generic,-
1549,"  it 's a wonderful , sobering , heart felt drama",+
1550,"  comes alive under the attention from two strangers in town with honest performances and realistic interaction between the characters , this is a coming of age story with a twist",+
1551,  it will make you think twice about what might be going on inside each trailer park you drive past even if it inspires you to drive a little faster,+
1552,"  directed by kevin , whose crisp , edgy camera work , and with acting , tone and pace very obviously mark him as a video helmer making his feature debut",-
1553,  best described as i know what you did last,-
1554,  i love the opening scenes of a new york city in cinematic poetry showcases the city 's old world charm before change nearly everything,+
1555,"  the film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and , and sometimes destroy , blood ties",+
1556,"  despite auteuil 's performance , it 's a rather listless down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug",-
1557,"  the film never rises above a conventional , two dimension tale",-
1558,"  whereas the extremely competent films such as pulp fiction and get resonate a sardonic verve to their purpose for existing , who is cletis tout ? is an and drab wannabe looking for that niche",-
1559,  has its share of arresting images,+
1560,  a dazzling dream of a documentary,+
1561,"  in a summer overrun with movies by cgi aliens and super heroes , it the mind to see a feature that on people , a project in which the script and characters hold",+
1562,"  intriguing and beautiful film , but those of you who read the book are likely to be disappointed",+
1563,"  the misery of these people becomes just another spectacle , to be and forgotten",-
1564,"  on top of a performance , madonna 's denied her own by lighting that emphasizes every line and",-
1565,"  a work of extraordinary journalism , but it is also a work of deft and subtle poetry",+
1566,  the issue of faith is not explored very deeply,-
1567,"  at its best , it 's black hawk down with more heart at its worst , it 's meets john ford",-
1568,  the piece plays as well as it does thanks in large measure to 's three lead actresses,+
1569,  os t m in a do em que do cinema e come a o que de ver o que,+
1570,  weird rewarding,+
1571,"  the movie is so contrived , nonsensical and formulaic that , come to think of it , the day old shelf would be a more appropriate to store it",-
1572,  the is now the electric,+
1573,"  the urban landscapes are detailed down to the signs on the , and the color , with lots of somber blues and , is and evocative",+
1574,  a picture as erratic as its central character,-
1575,  is pro and makes little attempt to give voice to the other side,-
1576,"  the ring is pretty much an english language copy of the film that inspired it , and it carries the same strengths and flaws",+
1577,  not since tom in risky business has an actor made such a strong impression in his,+
1578,  a big meal of cliches that the talented cast generally chokes on,-
1579,"  normally , rohmer 's talky films me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable",-
1580,"  awesome work , elusive , yet inexplicably powerful",+
1581,"  on this tricky topic , tadpole is very much a step in the right direction , with its blend of , and compassion",+
1582,  an entire film about quietly reading old,-
1583,  it 's so badly made on every level that i 'm actually having a hard time believing people were paid to make it,-
1584,"  the result puts a human face on derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less",+
1585,"  the movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a in the end",+
1586,"  boll uses a lot of quick cutting and step to goose things up , but dopey dialogue and sometimes performances kill the effect",-
1587,"  baran is shockingly devoid of your typical majidi loving , children",+
1588,  a modestly made but profoundly moving documentary,+
1589,"  expect to be reminded of other , better films , especially seven , which director william",-
1590,  a well crafted film that is all the more remarkable because it achieves its emotional power and moments of revelation with restraint and a delicate ambiguity,+
1591,"  i blame all men for war , the 's daughter tells her father the movie is about as deep as that sentiment",-
1592,"  the only thing that could possibly make them less interesting than they already are is for them to get full into a , team",-
1593,  despite modest aspirations its occasional charms are not to be dismissed,+
1594,"  while this gentle and affecting melodrama will have in , it 's far too slight and to appeal to anything than a niche audience",+
1595,"  sensitive , insightful and beautifully rendered film one of the best of the year",+
1596,  reggio 's visual is absorbing as well as thought provoking,+
1597,"  a deeper beginning and or ending would have easily this film into the a range , as is , it 's a very very strong b i love the middle of this picture",+
1598,"  a brisk , , and subtly different sequel",+
1599,"  though clearly well intentioned , this cross cultural soap opera is painfully formulaic and stilted",-
1600,"  a muddled limp of a movie , a vampire soap opera that does n't make much sense even on its own terms",-
1601,"  featuring a dangerously seductive performance from the great daniel auteuil , sade covers the same period as 's quills with more realistic results",+
1602,"  a huge disappointment coming , as it does , from filmmakers and performers of this",-
1603,  the powers of the giant screen and its hyper realistic images are put to perfect use in the breathtakingly beautiful outer space documentary space station 3d,+
1604,"  aside from being the funniest movie of the year , simone , andrew niccol 's brilliant anti hollywood satire , has a wickedly eccentric to it",+
1605,"  gorgeous scenes , masterful performances , but the sickly sweet gender narrative left an test in this 's mouth",+
1606,"  you emerge , confused as to whether you 've seen or documentary",+
1607,"  this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch",-
1608,  this version the book in a way even its author might admire,+
1609,  an overly melodramatic but somewhat insightful french coming of age film,+
1610,  boyd 's screenplay ( co written with hack davies ) has a florid turn of phrase that owes more to guy ritchie than the bard of,-
1611,  a predictable and stereotypical little b movie,-
1612,"  too slow , too boring , and occasionally annoying",-
1613,"  kids who are into this stuff will probably be in heaven anyone else who may , for whatever reason , be thinking about going to see this movie is given fair warning",-
1614,  an incredibly clever and superbly paced caper filled with scams within scams within scams,+
1615,"  its drama all over the screen , its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet",-
1616,  the story and characters are nowhere near gripping enough,-
1617,  vividly conveys both the pitfalls and the pleasures of over the top love,+
1618,"  watching the chemistry between freeman and judd , however , almost makes this movie worth seeing almost",-
1619,  richly entertaining and of any number of metaphorical,+
1620,  a trashy little bit of fluff stuffed with enjoyable performances and a sense of self importance,+
1621,  the makers of mothman prophecies succeed in that most frightening of all movies a mediocre horror film too bad to be good and too good to be bad,-
1622,"  an elegant , exquisitely psychological thriller",+
1623,  majidi makes us think twice about we see around us every day,+
1624,"  when you think you 've figured out bielinsky 's great game , that 's when you 're in the most trouble he 's the con , and you 're just the mark",+
1625,"  interview with the assassin is structured less as a documentary and more as a found , and as such the film has a difficult time shaking its blair witch project real time roots",-
1626,  looks like a high school film project the day before it was due,-
1627,"  the one thing this wild film has that other imax films do n't chimps , lots of chimps , all blown up to the size of a house that 's fun for kids of any age",+
1628,  equal parts bodice ripper and plodding costume drama,-
1629,"  this new movie version of the alexandre dumas classic is the stuff of high romance , brought off with considerable wit",+
1630,"  this limp gender from a first time director and screenwriter steals from that 1982 's , only to a single laugh",-
1631,  the tone shifts from tense to celebratory to,-
1632,"  this is a good script , good dialogue , funny even for adults the characters are interesting and often very constructed from figure to the film will play equally well on both the standard and giant screens",+
1633,  a very stylish but ultimately extremely silly tale a slick piece of nonsense but nothing more,-
1634,"  just when the movie seems confident enough to handle subtlety , it into bathos",-
1635,  like through an album of by the of,-
1636,  it life as it looks in the face of death,+
1637,"  charlotte sometimes is a brilliant movie it is about , life and it seems so real because it does not attempt to out the complexity",+
1638,"  although it 's a bit smug and repetitive , this documentary engages your brain in a way few current films do",+
1639,  a film in a class with spike lee 's masterful do the right thing,+
1640,"  a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story",+
1641,"  whatever i might have , i 'd take its earnest errors and hard rewards over the self of other feel good like antwone fisher or the emperor 's club any time",+
1642,"  an absurdist comedy about alienation , and loss",+
1643,"  last orders the multi layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be it 's affecting , amusing , sad and reflective",+
1644,"  this talk for faith , hope and does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the for life",-
1645,  but even with the two make a right chemistry between jolie and burns this otherwise appealing picture loses its soul to screenwriting for,+
1646,  the fact that the is a nearly impeccable cinematic experience and a wonderful all ages triumph besides is a miracle akin to the story the film portrays,+
1647,  delightfully rendered,+
1648,  quick who wants to see a comedy about shoddy ?,-
1649,"  notwithstanding , the film suffers from a simplistic narrative and a pat , fairy tale conclusion",-
1650,"  with its fully written characters , its determined ( which always to characters and story ) and 's best soundtrack in years",+
1651,"  a stylish but steady , and ultimately very satisfying , piece of character driven storytelling",+
1652,"  makes the case for a strong education and good being more valuable in the way they help an average student 's self , and not strictly in the knowledge",+
1653,"  uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity",+
1654,  pretty good little movie,+
1655,"  i liked about schmidt a lot , but i have a feeling that i would have liked it much more if harry never",+
1656,  the movie 's heavy handed screenplay a fast fade into and,-
1657,  julia is played with blandness by,-
1658,"  borrows a bit from the classics wait until dark and but in terms of its style , the movie is in a class by itself",+
1659,"  for all of the contemporary post consciousness that kapur tries to bring to the four feathers , the oddest thing about the movie is how it winds up affirming the same damn moldy values the material has always held dear",-
1660,"  as pure over the top trash , any john waters movie has it beat by a country mile",-
1661,  the story really has no place to go since simone is not real she ca n't provide any conflict,-
1662,  a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own colored dreams,-
1663,"  the story wraps back around on itself in the kind of elegant that 's rare in film today , but be it 's a slow slog to get there",+
1664,"  going to this movie is a little like whale it 's an taste that takes time to enjoy , but it 's worth it , even if it does take 3 hours to get through",+
1665,"  bleak , to say nothing of boring",-
1666,"  a few aside , the writing is indifferent , and jordan 's direction is",-
1667,"  as home movie gone , it 's pretty enjoyable , but as sexual , i 'd rather listen to old",+
1668,  an instantly forgettable snow and extravaganza that likely will be by an of more appealing holiday season product,-
1669,"  with the exception of some amusing by the as perry 's , there is n't a redeeming moment here",-
1670,  the film 's maudlin focus on the young woman 's and her dreams play like the worst kind of hollywood heart string,-
1671,  a thought provoking look at how western foreign policy however well intentioned can in other cultures,+
1672,"  think the lion king for horses , with fewer deliberate laughs , more ones and trite songs by adams , the world 's most generic rock star",-
1673,  our culture is headed down the toilet with the of a frozen after an all night and i know this because i 've seen ` jackass the movie ',-
1674,  anachronistic and,+
1675,"  it all plays out like a high end john comedy , a kind of 's time out",+
1676,  chases kevin with a gun chases stuart with a cell phone the sound of and cell phones,-
1677,"  imagine a film that begins as a seven rip off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the",-
1678,  a fascinating case study of power and the price that was paid for it,+
1679,"  any movie this boring should be required to have in the theater that hand you a cup of coffee every few minutes like a runner trying to finish a race , you need a constant of just to get through it",-
1680,"  if nothing else , this movie introduces a promising , unusual kind of psychological horror",+
1681,  a very funny look at how another culture handles the process of and marriage,+
1682,"  it 's tough to watch , but it 's a fantastic movie",+
1683,"  a whole lot of fun and funny in the middle , though somewhat less hard hitting at the start and finish",+
1684,  the formula is familiar but enjoyable,+
1685,  dramatically lackluster,-
1686,"  i did n't laugh at the efforts of cube , and his buddy mike epps , to make like and hardy 'n the hood",-
1687,  a polished and relatively sincere piece of escapism,+
1688,"  big fat liar is little more than home alone raised to a new , self deprecating level",-
1689,  i do n't even care that there 's no plot in this it 's still terrible !,-
1690,  i 'm just too bored to care,-
1691,  nair does n't treat the issues she allows each character to confront their problems and honestly,+
1692,  no doubt the star and everyone else involved had their hearts in the right place where their heads were is anyone 's guess,-
1693,  winds up feeling like lots of other quirky movies that try to score points with young adults,-
1694,"  the result is solemn and horrifying , yet strangely detached",-
1695,  think of it as american pie on,-
1696,"  a quaint , rendering",-
1697,"  despite its title , punch drunk love is never heavy handed the it employs are short , carefully and dead center",+
1698,"  as comedic go , notorious c h o hits all the verbal marks it should",+
1699,  those with an interest in new or singular of film experiences will find what time is it there ? well worth the time,+
1700,  the real question this movie is not ` who ? ' but ` why ? ',-
1701,"  an entertaining , colorful , action filled crime story with an intimate heart",+
1702,"  it 's a strange film , one that was hard for me to warm up to",+
1703,"  one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them",+
1704,"  stevenson 's performance is at once clueless and fiercely committed , a volatile combination",+
1705,  the problem is that the movie has no idea of it is serious or not,-
1706,  two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy,+
1707,  the movie would seem less of a trifle if ms sugarman followed through on her of the saccharine,-
1708,  campbell scott finds the ideal for his flick in the role of roger,+
1709,  snow dogs finds its humour in a black man getting by a pack of dogs who are smarter than him,-
1710,"  acknowledges and celebrates the glorious and self of this most american of , and for that reason it may be the most oddly honest hollywood document of all",+
1711,  the movie is ingenious fun see it,+
1712,  a sports movie with action that 's exciting on the field and a story you care about off it,+
1713,"  much of the lady and the duke is about quiet , moments between members of the cultural as they how to as the world",+
1714,"  it 's 's job to clean the surrounding her , and after viewing this one , you 'll feel like up , too",-
1715,  moonlight mile does n't quite go the distance but the cast is impressive and they all give life to these broken characters who are trying to make their way through this tragedy,+
1716,"  what could have easily become a cold , calculated exercise in pastiche winds up a powerful and deeply moving example of melodramatic moviemaking",+
1717,"  for those in search of something different , wendigo is a genuinely bone chilling tale",+
1718,  the cast delivers without sham the raw story,+
1719,"  just about the best straight up , old school horror film of the last 15 years",+
1720,  majidi 's direction has never been smoother or more confident,+
1721,"  like arnold schwarzenegger , with a to match , ahola has a wooden delivery and encounters a substantial arc of change that does n't produce any real transformation",-
1722,"  has constructed a remarkably coherent , vivid snapshot of those days",+
1723,  you could for an hour and not miss a thing,-
1724,  this is simply the most fun you 'll ever have with a documentary !,+
1725,"  the overall effect is awe and affection and a strange urge to get on a board and , , shred ,",+
1726,"  though the book runs only about 300 , it is so densely packed that even an ambitious adaptation and elaborate production like mr schepisi 's seems and",-
1727,"  it winds up moving in many as it ( , i think ) for something fresh to say",-
1728,"  those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved",+
1729,"  muccino seems to be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble but even while his characters are acting horribly , he is always sympathetic",+
1730,  a gothic,+
1731,"  a fascinating profile of a deeply artist who , in spite of all that he 's , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to the truth of the world around him",+
1732,"  a lot like the sport it projects onto the screen loud , violent and mindless",-
1733,"  the movie does n't think much of its characters , its protagonist , or of us",-
1734,"  between bedroom scenes , viewers may find themselves wishing they could roll over and take a",-
1735,"  often and heartbreaking to witness , but seldahl and wollter 's performances raise this far above the level of the usual maudlin disease movie",+
1736,  an exhausting family drama about a empire and just as hard a flick as its subject matter,-
1737,"  filled with alexandre 's haunting and sublime music , the movie completely the audience",+
